date,state,compound,pos,neg,neu,count,num_sentence
1031,New Jersey,0.032899808,0.10457427,0.089061982,0.806381797,217,2.193548387
1031,Virginia,0.060441985,0.10847195,0.084414175,0.807106572,194,2.298969072
1031,Washington,0.002953407,0.098054509,0.088005569,0.813956423,301,2.411960133
1031,Arizona,0.057236744,0.118433947,0.079160346,0.802414635,252,2.28968254
1031,Tennessee,0.058466729,0.100810308,0.078516423,0.820667113,176,2.369318182
1031,Indiana,0.049525571,0.109164498,0.082977169,0.80788379,146,2.356164384
1031,Missouri,0.089470139,0.10059188,0.063504746,0.835868054,151,2.231788079
1031,Maryland,0.053636593,0.108383124,0.072951992,0.81867348,159,1.918238994
1031,Wisconsin,0.083699175,0.113736667,0.065667778,0.820582857,105,2.276190476
1031,Colorado,-0.003822995,0.088117869,0.095549427,0.816337201,173,2.306358382
1031,Minnesota,0.057548642,0.100607973,0.070125548,0.829259352,152,2.578947368
1031,South Carolina,0.018604766,0.096502344,0.077321615,0.826185156,128,2.3046875
1031,Alabama,0.044681648,0.104268199,0.080555172,0.815163218,87,2.413793103
1031,Louisiana,0.098121744,0.115083333,0.074981266,0.809943152,129,2.054263566
1031,Kentucky,0.03595685,0.115023228,0.087410892,0.79757874,127,2.275590551
1031,Oregon,0.092400812,0.120181398,0.068027096,0.811761696,123,2.455284553
1031,Utah,0.072697197,0.118164584,0.073870332,0.807985355,74,2.648648649
1031,Iowa,0.011367284,0.074538889,0.072335185,0.853144444,54,2.407407407
1031,Arkansas,0.022229787,0.089911404,0.078812949,0.831258104,57,2.526315789
1031,Mississippi,0.094954505,0.104259009,0.050918919,0.844808559,37,1.756756757
1031,Kansas,0.026776215,0.081142938,0.08820791,0.83065339,59,2.237288136
1031,Nebraska,0.016873269,0.105198077,0.082289487,0.812517564,65,2.246153846
1031,West Virginia,0.093279701,0.105536325,0.045888889,0.848608974,39,1.794871795
1031,Idaho,0.094692244,0.120490385,0.064583333,0.814919872,26,2.653846154
1031,Hawaii,0.16000462,0.121234386,0.06505174,0.813666255,52,2.096153846
1031,Maine,0.040858775,0.115091176,0.087917647,0.797026471,34,2.352941176
1031,Montana,0.060235,0.10465,0.076129167,0.819220833,16,2.3125
1031,South Dakota,0.148091667,0.117472222,0.0342,0.848294444,15,1.8
1031,North Dakota,0.14459,0.170722222,0.102733333,0.726544444,15,1.666666667
1031,Wyoming,0.092177083,0.094375,0.053041667,0.852583333,8,2.375
1031,"Washington, D.C.",0.066958883,0.108095745,0.075166312,0.816750355,94,2.223404255
1102,Rhode Island,0.001840299,0.087260684,0.079599145,0.833152991,39,2.282051282
1102,Connecticut,-0.034616027,0.084453653,0.097769635,0.817755023,73,2.246575342
1102,Massachusetts,-0.007051231,0.098775,0.096323188,0.804910662,226,2.066371681
1102,New Hampshire,-0.075963851,0.053891954,0.104556897,0.841585632,29,1.862068966
1102,Vermont,-0.107457,0.100032222,0.15408,0.745943333,15,2.533333333
1102,Delaware,-0.057741667,0.072479167,0.118354167,0.809145833,16,2
1102,Oklahoma,-0.028279605,0.094102825,0.104984463,0.800936723,59,2.525423729
1102,Nevada,-0.000973252,0.106063387,0.087646392,0.806258078,98,2.397959184
1102,New Mexico,-0.014986879,0.100092199,0.124054965,0.77581383,47,2.063829787
1102,California,0.02290648,0.099178695,0.089477315,0.811332449,943,2.282078473
1102,Texas,0.016851616,0.098385517,0.090783931,0.810831775,627,2.23923445
1102,Florida,-0.013081507,0.09483355,0.093483065,0.811696026,472,2.417372881
1102,Pennsylvania,-0.032737764,0.087202151,0.099191013,0.8136119,328,2.411585366
1102,New York,0.017366722,0.084004398,0.069642655,0.846352387,595,2.173109244
1102,Illinois,0.04922251,0.098287022,0.086892857,0.814816662,265,2.18490566
1102,Ohio,0.021210409,0.094222195,0.08874433,0.817039831,236,2.110169492
1102,Georgia,-0.013175241,0.095200434,0.093614692,0.811175237,211,2.345971564
1102,North Carolina,0.026597536,0.107095768,0.083878647,0.809028764,173,2.514450867
1102,Michigan,0.052684973,0.10822854,0.085005335,0.80678099,189,2.322751323
1102,New Jersey,-0.02196342,0.093243846,0.097557946,0.809207598,142,2.570422535
1102,Virginia,-0.02117625,0.083087285,0.106163431,0.810750573,194,2.396907216
1102,Washington,0.030462417,0.095855874,0.078728305,0.825392794,152,2.302631579
1102,Arizona,0.025110261,0.096755307,0.087926071,0.815327002,179,2.061452514
1102,Tennessee,0.03622549,0.088734742,0.0779049,0.833357928,144,2.631944444
1102,Indiana,0.020086263,0.094822008,0.078678592,0.826520704,115,2.330434783
1102,Missouri,0.062924254,0.114376032,0.063666825,0.821947302,105,2.533333333
1102,Maryland,0.070728565,0.110050138,0.065665631,0.824302346,138,2.072463768
1102,Wisconsin,0.064560608,0.095300434,0.073513455,0.83119783,96,2.104166667
1102,Colorado,0.019422997,0.093852661,0.076555042,0.829628011,119,2.285714286
1102,Minnesota,-0.074224149,0.076865377,0.115088393,0.808053175,120,2.591666667
1102,South Carolina,0.042683483,0.089697512,0.069252488,0.841082338,67,2.149253731
1102,Alabama,0.010192345,0.096710169,0.098114407,0.805179661,59,2.254237288
1102,Louisiana,0.025480077,0.10728833,0.087439068,0.805268377,71,2.112676056
1102,Kentucky,0.092918304,0.117167268,0.068357888,0.814483261,99,2.303030303
1102,Oregon,-0.098351888,0.077950438,0.119642583,0.802433799,87,2.632183908
1102,Utah,0.021653117,0.061908333,0.051593673,0.886496759,108,2.601851852
1102,Iowa,0.051473732,0.112054348,0.067971014,0.820003623,46,2.5
1102,Arkansas,0.000668056,0.101081481,0.106977778,0.791951852,30,2.4
1102,Mississippi,-0.019197669,0.06570625,0.086339187,0.84793373,48,2.541666667
1102,Kansas,0.004805293,0.098739969,0.073891049,0.827402932,54,2.814814815
1102,Nebraska,-0.034175135,0.089828829,0.082333333,0.827815315,37,2.378378378
1102,West Virginia,-0.008859839,0.061326165,0.06597043,0.872714158,31,3.032258065
1102,Idaho,0.018158889,0.134026389,0.077533333,0.788440278,12,1.833333333
1102,Hawaii,0.013415892,0.083556397,0.071603535,0.844850168,33,2.575757576
1102,Maine,-0.048247011,0.077986861,0.100442857,0.821607319,27,2.444444444
1102,Montana,-0.029701042,0.072625,0.059734375,0.867640625,16,2.5
1102,South Dakota,-0.018795926,0.09387037,0.084825,0.82130463,18,3
1102,North Dakota,0.089229744,0.084674359,0.031844872,0.883511538,13,2.307692308
1102,Wyoming,0.132713333,0.143166667,0.081366667,0.775466667,5,3.4
1102,"Washington, D.C.",-0.016725942,0.073522946,0.06910348,0.857382732,91,2.461538462
1103,Rhode Island,0.033375833,0.090180833,0.094345833,0.815525,20,3.1
1103,Connecticut,-0.037648574,0.072456823,0.099702062,0.82781266,82,2.292682927
1103,Massachusetts,0.025943283,0.098961153,0.075392607,0.825654386,133,2.240601504
1103,New Hampshire,0.139944118,0.121220588,0.047862745,0.830916667,17,2.117647059
1103,Vermont,-0.064930556,0.031597222,0.087083333,0.881319444,12,2.166666667
1103,Delaware,-0.069042725,0.101327381,0.130685847,0.768000661,18,2.888888889
1103,Oklahoma,0.091170011,0.118655662,0.081371368,0.799985791,78,2.243589744
1103,Nevada,-0.019674784,0.094876938,0.091024031,0.814106783,86,2.23255814
1103,New Mexico,-0.071720699,0.057887097,0.119327957,0.822782258,31,1.806451613
1103,California,0.027944196,0.104492988,0.080465379,0.815045833,903,2.3089701
1103,Texas,0.034197678,0.102185997,0.08831636,0.809503403,544,2.183823529
1103,Florida,0.029175209,0.098383827,0.081475734,0.820126792,386,2.196891192
1103,Pennsylvania,-0.004887167,0.091392031,0.082977931,0.82563867,251,2.302788845
1103,New York,0.080899566,0.107098893,0.068662122,0.824236112,435,2.062068966
1103,Illinois,0.064451143,0.107543478,0.076319002,0.816143961,207,2.082125604
1103,Ohio,0.049967122,0.113669489,0.081137285,0.805188597,216,2.203703704
1103,Georgia,-0.004583477,0.095306801,0.087918924,0.816751286,174,2.045977011
1103,North Carolina,0.031077297,0.106720635,0.08671566,0.806555967,168,2.202380952
1103,Michigan,0.12060869,0.121763678,0.071426437,0.806825977,145,2.2
1103,New Jersey,0.033121398,0.098526894,0.081624079,0.819850766,115,2.426086957
1103,Virginia,0.089004005,0.105793886,0.072430903,0.821749004,145,2.020689655
1103,Washington,0.008528747,0.093091794,0.090879665,0.816020889,159,2.301886792
1103,Arizona,0.061117929,0.11872634,0.086426923,0.794844406,143,2.237762238
1103,Tennessee,0.008803183,0.092034486,0.091679365,0.816305329,126,2.198412698
1103,Indiana,0.105327749,0.10388167,0.063921817,0.832192126,127,2.57480315
1103,Missouri,0.023749766,0.09025678,0.084178186,0.825557891,105,2.39047619
1103,Maryland,0.053268918,0.090666228,0.062855556,0.846476754,114,1.964912281
1103,Wisconsin,-0.027326667,0.078726707,0.085428112,0.835831124,83,2.084337349
1103,Colorado,0.073666727,0.107250803,0.06847761,0.824262952,83,2.43373494
1103,Minnesota,0.009452981,0.094035544,0.088674533,0.817287276,107,2.878504673
1103,South Carolina,-0.031859585,0.085959596,0.118673954,0.795343723,66,2.015151515
1103,Alabama,-0.036302229,0.073854762,0.07467987,0.851469697,77,2.428571429
1103,Louisiana,-0.001226667,0.08416215,0.093629283,0.822221963,107,1.925233645
1103,Kentucky,0.051659959,0.095649486,0.063803409,0.840560363,88,2.477272727
1103,Oregon,0.024592039,0.086324781,0.085344737,0.828341447,76,2.118421053
1103,Utah,0.027547797,0.055801884,0.052670145,0.891506232,115,2.747826087
1103,Iowa,0.096781356,0.111554278,0.077183818,0.811232244,59,2.050847458
1103,Arkansas,0.02976808,0.080507292,0.084265625,0.8352375,32,2.53125
1103,Mississippi,0.05269447,0.115993197,0.074017396,0.809989407,49,2.448979592
1103,Kansas,0.046793495,0.119125333,0.095735619,0.785089381,50,2.34
1103,Nebraska,0.116855866,0.114239484,0.046465212,0.839292989,36,2.694444444
1103,West Virginia,0.053292029,0.117347826,0.068782609,0.813891304,23,2.173913043
1103,Idaho,0.068028503,0.099104847,0.078119048,0.82276182,28,2.321428571
1103,Hawaii,0.311000476,0.187752381,0.041785714,0.770485714,21,1.571428571
1103,Maine,-0.033631771,0.094544271,0.085622396,0.819856771,32,2.59375
1103,Montana,-0.077095729,0.094396875,0.139265625,0.766394792,16,2.5
1103,South Dakota,0.128368333,0.16875,0.058922222,0.772394444,15,2.466666667
1103,North Dakota,0.025930556,0.075175926,0.066763889,0.858060185,12,2.083333333
1103,Wyoming,0.0015375,0.09525,0.068,0.83675,4,1.75
1103,"Washington, D.C.",0.200813489,0.086706475,0.039658273,0.873634652,139,1.582733813
1105,Rhode Island,0.020377011,0.059818966,0.064224138,0.875962644,29,2.24137931
1105,Connecticut,0.063764947,0.100280526,0.083678421,0.816038421,95,2.084210526
1105,Massachusetts,0.01797771,0.086224707,0.079542896,0.834230757,183,2.109289617
1105,New Hampshire,0.031144203,0.083514493,0.078311594,0.838202899,23,2.347826087
1105,Vermont,0.048583333,0.024833333,0.025,0.950166667,6,2.5
1105,Delaware,0.061822536,0.128738406,0.06594058,0.805248551,23,2.217391304
1105,Oklahoma,-0.031042613,0.095058573,0.093771331,0.811139232,81,2.320987654
1105,Nevada,0.00967996,0.10356336,0.100771296,0.795679233,126,2.333333333
1105,New Mexico,-0.051927716,0.11722037,0.126850617,0.75595679,45,2.4
1105,California,0.001175198,0.093896137,0.091683251,0.814417771,991,2.189707366
1105,Texas,-0.000401035,0.096205906,0.094086627,0.809712497,613,2.146818923
1105,Florida,-0.00225582,0.088323006,0.094721629,0.816965053,449,2.08908686
1105,Pennsylvania,0.028707649,0.09317928,0.078995018,0.827829676,281,2.074733096
1105,New York,0.021523117,0.089523477,0.083502674,0.826973402,634,2.036277603
1105,Illinois,0.015666189,0.093912074,0.090433926,0.815657228,253,2.213438735
1105,Ohio,-0.015196739,0.087549591,0.093530692,0.818915728,265,2.203773585
1105,Georgia,0.014754125,0.08808065,0.082420191,0.829503458,252,2.142857143
1105,North Carolina,0.027323016,0.099095238,0.082572803,0.818341959,175,2.205714286
1105,Michigan,0.002968672,0.083745635,0.090250204,0.825990167,212,2.264150943
1105,New Jersey,0.009565025,0.090285518,0.086365498,0.823347967,164,2.073170732
1105,Virginia,-0.019706002,0.074759073,0.096629727,0.828620569,169,2.284023669
1105,Washington,-0.038544296,0.085193792,0.094574208,0.820243343,191,2.120418848
1105,Arizona,0.015834769,0.094440855,0.084313333,0.821244103,195,2.235897436
1105,Tennessee,0.063437516,0.085566129,0.079677742,0.834736237,155,2.116129032
1105,Indiana,0.02570788,0.098150907,0.078044898,0.823810091,147,2.387755102
1105,Missouri,0.041705474,0.094109416,0.074900462,0.831016293,121,2.41322314
1105,Maryland,0.014022828,0.084116291,0.07755181,0.838354804,171,2.216374269
1105,Wisconsin,-0.066603448,0.063280077,0.087164559,0.849550192,87,2.574712644
1105,Colorado,0.011320491,0.102225816,0.086497307,0.811281638,140,2.257142857
1105,Minnesota,0.061793244,0.097111383,0.076191124,0.8267165,114,2.342105263
1105,South Carolina,0.030330155,0.09122619,0.064634524,0.844103571,70,2.214285714
1105,Alabama,0.06565507,0.104346429,0.075486275,0.820156268,68,2.514705882
1105,Louisiana,0.063856018,0.095845934,0.082435586,0.821718095,130,1.907692308
1105,Kentucky,0.040160544,0.082956243,0.068346506,0.848705326,97,2.175257732
1105,Oregon,-0.072325145,0.074140036,0.097975543,0.827835507,92,2.282608696
1105,Utah,-0.069338308,0.066900758,0.111997222,0.821122222,66,2.348484848
1105,Iowa,-0.032432194,0.06899119,0.094286633,0.83673932,70,2.471428571
1105,Arkansas,0.004056229,0.090722038,0.109444131,0.799884994,43,2.441860465
1105,Mississippi,0.078780238,0.114348413,0.074671429,0.810975397,42,2.095238095
1105,Kansas,0.036098694,0.077756944,0.048381944,0.873888889,60,2.533333333
1105,Nebraska,0.057411198,0.085714583,0.059013281,0.855252604,64,2.375
1105,West Virginia,0.060607769,0.088720923,0.057327846,0.853971231,25,2.72
1105,Idaho,-0.028445513,0.051471154,0.06713141,0.881448718,26,2.269230769
1105,Hawaii,0.047928148,0.102466667,0.082877778,0.814544444,27,2.222222222
1105,Maine,0.025188705,0.089665215,0.063731998,0.84659669,41,2.487804878
1105,Montana,-0.217917857,0.117267857,0.126178571,0.756553571,14,1.857142857
1105,South Dakota,0.070320513,0.081326923,0.045711538,0.872961538,13,2.153846154
1105,North Dakota,-0.120027536,0.063037681,0.118561594,0.818348551,23,2.347826087
1105,Wyoming,-0.006425,0.17725,0.146,0.6765,1,4
1105,"Washington, D.C.",0.020692481,0.084917991,0.07235034,0.842757179,98,2.275510204
